氏名,プロフィール
梶山　弘志,"梶山　弘志（かじやま　ひろし）
小選挙区（茨城県第四区）選出、自由民主党・無所属の会
昭和三十年十月十八日茨城県常陸太田市に生まれる、日本大学法学部卒業○動力炉核燃料開発事業団（現日本原子力開発機構）社員、また自ら会社を設立、代表となる○国土交通大臣政務官、国土交通副大臣、内閣府特命担当大臣、経済産業大臣○自由民主党経済産業部会長代理、副幹事長、広報戦略局長、副政調会長、経理局長、選挙対策委員会事務局長、情報調査局長、政務調査会長代理○衆議院議院運営委員会理事、農林水産委員会理事、経済産業委員会筆頭理事、国土交通委員長、災害対策特別委員長○当選九回（42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
勝俣　孝明,"勝俣　孝明（かつまた　たかあき）
比例代表（東海）選出、自由民主党・無所属の会
昭和五十一年四月七日静岡県沼津市に生まれる。学習院大学経済学部卒業、慶應義塾大学大学院経営管理研究科修了。スルガ銀行株式会社人事担当マネージャー、財団法人企業経営研究所研究員、沼津市人事委員会臨時委員。現在は衆議院議員○自民党政調副会長○環境大臣政務官、農林水産副大臣○衆議院外務委員長○当選五回（46 47 48 49 50）
（令和7年3月現在）"
勝目　康,"勝目　康（かつめ　やすし）
小選挙区（京都府第一区）選出、自由民主党・無所属の会
環境大臣政務官、内閣府大臣政務官
昭和四十九年五月京都府京都市に生まれる、東京大学法学部卒業○環境大臣政務官兼内閣府大臣政務官○総務省地域振興室長、京都府総務部長、内閣官房副長官秘書官、在フランス日本国大使館一等書記官○自由民主党京都府第一選挙区支部長○当選二回（49 50）
（令和7年3月現在）"
加藤　鮎子,"加藤　鮎子（かとう　あゆこ）
小選挙区（山形県第三区）選出、自由民主党・無所属の会
昭和五十四年四月十九日山形県鶴岡市に生まれる、慶應義塾大学法学部卒業、米国コロンビア大学院修了○株式会社ドリームインキュベータ（経営戦略コンサルティング）、日本国際交流センター、ピープルフォーカス・コンサルティング株式会社（組織開発支援事業）、衆議院議員秘書となる。環境大臣政務官、内閣府大臣政務官、自民党副幹事長、女性局次長、青年局次長、農林部会副部会長、国土交通大臣政務官、内閣府特命担当大臣（こども政策、少子化対策、若者活躍、男女共同参画）を歴任○当選四回（47 48 49 50）
（令和7年3月現在）"
加藤　勝信,"加藤　勝信（かとう　かつのぶ）
小選挙区（岡山県第三区）選出、自由民主党・無所属の会
財務大臣、内閣府特命担当大臣
昭和三十年十一月東京都に生まれる、東京大学経済学部卒業○大蔵省入省、農林水産大臣秘書官、大蔵省大臣官房企画官、衆議院議員加藤六月秘書、川崎医療福祉大学客員教授○内閣府大臣政務官、内閣官房副長官、内閣人事局長、国務大臣（一億総活躍・働き方改革・女性活躍・再チャレンジ・拉致問題・国土強靱化）、内閣府特命担当大臣（少子化対策・男女共同参画・拉致問題）、厚生労働大臣、内閣官房長官・国務大臣（沖縄基地負担軽減・拉致問題）、財務大臣・内閣府特命担当大臣（金融）・国務大臣（デフレ脱却）○自由民主党厚生労働部会長、総裁特別補佐・報道局長、総務会長○衆議院環境委員会理事、内閣委員会理事、厚生労働委員会理事、予算委員会理事、憲法審査会幹事○当選八回（43 44 45 46 47 48 49 50）
（令和7年3月現在）"
加藤　竜祥,"加藤　竜祥（かとう　りゅうしょう）
小選挙区（長崎県第二区）選出、自由民主党・無所属の会
昭和五十五年二月長崎県島原市に生まれる、日本大学経済学部経済学科卒業○衆議院議員安倍晋三私設秘書、衆議院議員加藤寛治私設秘書○国土交通大臣政務官兼内閣府大臣政務官兼復興大臣政務官○当選二回（49 50）
（令和7年3月現在）"
金子　恵美,"金子　恵美（かねこ　えみ）
小選挙区（福島県第一区）選出、立憲民主党・無所属
昭和四十年七月福島県保原町（現伊達市）に生まれる、法政大学文学部卒業、米カリフォルニア州立大学大学院修了、福島大学大学院修了○保原町議会議員、伊達市議会議員○内閣府大臣政務官兼復興大臣政務官○民主党副幹事長、民進党政務調査会長代理、立憲民主党政務調査会震災復興部会長、東北ブロック常任幹事、役員室次長、企業・団体交流委員会委員長代理、東日本大震災復興本部事務局長、次の内閣ネクスト農林水産大臣、福島県総支部連合会代表、福島県第一区総支部長○衆議院農林水産委員会理事、東日本大震災復興特別委員会理事○当選四回（47 48 49 50）参一回（21）
（令和7年3月現在）"
金子　恭之,"金子　恭之（かねこ　やすし）
小選挙区（熊本県第四区）選出、自由民主党・無所属の会
東日本大震災復興・防災・災害対策に関する特別委員長
昭和三十六年二月熊本県球磨郡深田村（現在あさぎり町）に生まれる、早稲田大学商学部卒業○自由民主党組織運動本部長、党政務調査会長代理、党林政対策委員長、党青年局長○衆議院農林水産委員、災害対策特別委員、国土交通委員長、厚生労働委員会与党筆頭理事、国土交通委員会与党筆頭理事、災害対策特別委員長○農林水産大臣政務官、国土交通副大臣○総務大臣○当選九回（42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
金子　容三,"金子　容三（かねこ　ようぞう）
小選挙区（長崎県第三区）選出、自由民主党・無所属の会
防衛大臣政務官
昭和五十八年二月長崎県長崎市に生まれ、慶應義塾大学法学部法律学科卒業、ウィリアムアンドメアリー大学経営大学院修了（MBA）○日興コーディアル証券株式会社（現SMBC日興証券株式会社）○防衛大臣政務官○当選二回（49補 50）
（令和7年3月現在）"
金村　龍那,"金村　龍那（かねむら　りゅうな）
比例代表（南関東）選出、日本維新の会
昭和五十四年四月六日愛知県名古屋市に生まれる、専修大学法学部法律学科中退○衆議院議員秘書、児童福祉施設運営会社社長○日本維新の会衆議院神奈川県第十選挙区支部長○衆議院厚労委員、政倫審委員○当選二回（49 50）
（令和7年3月現在）"
鎌田　さゆり,"鎌田　さゆり（かまた　さゆり）
小選挙区（宮城県第二区）選出、立憲民主党・無所属
昭和四十年一月八日宮城県仙台市に生まれる、東北学院大学経済学部卒業、元仙台市議会議員、元宮城県議会議員○当選四回（42 43 49 50）
（令和7年3月現在）"
上川　陽子,"上川　陽子（かみかわ　ようこ）
小選挙区（静岡県第一区）選出、自由民主党・無所属の会
昭和二十八年三月静岡県静岡市に生まれる、東京大学教養学部卒業、米国ハーバード大学大学院政治行政学修士修了○（株）三菱総合研究所研究員、米国民主党ボーカス上院議員政策立案スタッフ（留学中）○外務大臣、法務大臣（三回）、内閣府特命担当大臣（男女共同参画・少子化対策）、公文書管理担当大臣、総務副大臣、総務大臣政務官○自由民主党幹事長代理、女性活躍推進本部長、一億総活躍推進本部長、憲法改正推進本部事務局長、司法制度調査会長○衆議院厚生労働委員長○著書「静岡発かみかわ陽子流視点を変えると見えてくる」「難問から逃げない」○当選八回（42 43 44 46 47 48 49 50）
（令和7年3月現在）"
神谷　裕,"神谷　裕（かみや　ひろし）
小選挙区（北海道第十区）選出、立憲民主党・無所属
昭和四十三年八月十日東京都豊島区に生まれる、帝京大学文学部国際文化学科卒業○衆議院議員秘書、日本鰹鮪漁業協同組合連合会課長、参議院議員秘書、国務大臣秘書官○当選三回（48 49 50）
（令和7年3月現在）"
亀井　亜紀子,"亀井　亜紀子（かめい　あきこ）
小選挙区（島根県第一区）選出、立憲民主党・無所属
昭和四十年五月東京都に生まれる、学習院大学法学部政治学科卒業、カールトン大学（カナダ）マスコミュニケーション学科卒業○英語通訳、衆議院議員公設秘書○参議院議員○農林水産委員会委員○立憲民主党国際局長○共著「君も政治家になろう」○当選三回（48 49補 50）参一回（21）
（令和7年3月現在）"
川内　博史,"川内　博史（かわうち　ひろし）
小選挙区（鹿児島県第一区）選出、立憲民主党・無所属
昭和三十六年十一月二日鹿児島市原良町に生まれる、早稲田大学政経学部卒業○大和銀行に入行し、その後株式会社大月ホテル取締役、クロス・ヘッド株式会社取締役○立憲民主党鹿児島県第一区総支部代表、常任幹事会議長○衆議院国土交通委員長、政治倫理審査会長、文部科学委員長○当選八回（41 42 43 44 45 48 49繰 50）
（令和7年3月現在）"
川崎　ひでと,"川崎　ひでと（かわさき　ひでと）
比例代表（東海）選出、自由民主党・無所属の会
総務大臣政務官
昭和五十六年十一月三重県伊賀市に生まれる、法政大学経済学部卒業○株式会社エヌ・ティ・ティ・ドコモ入社、十一年間の勤務を経て、平成二十九年八月衆議院議員川崎二郎秘書○総務大臣政務官○自由民主党青年局団体部長○当選二回（49 50）
（令和7年3月現在）"
川原田　英世,"川原田　英世（かわはらだ　えいせい）
比例代表（北海道）選出、立憲民主党・無所属
昭和五十八年一月北海道網走市に生まれる、北海道向陽高校卒業○参議院議員秘書、衆議院議員公設秘書、網走市議会議員、水産加工会社役員○立憲民主党北海道第十二区総支部長○当選一回（50）
（令和7年3月現在）"
河村　たかし,"河村　たかし（かわむら　たかし）
小選挙区（愛知県第一区）選出、日本保守党
昭和二十三年十一月三日、名古屋市東区古出来に生まれる。一橋大学商学部卒業。古出来町奉賛会（地元の祭礼の会）名誉会長、元旭丘高校同窓会理事。衆議院国会等移転特別委員会委員長、法務委員会野党筆頭理事、裁判官訴追委員会第二代理委員長などを歴任。民主党時代、党副幹事長、特殊法人等改革本部事務局長、民主党Gメン座長などを務める。平成二十三年二月、衆議院議員から名古屋市長に転身、四期十五年を務める。令和五年十月、日本保守党の共同代表就任。令和六年十月、名古屋市長を退任し、衆議院選挙に愛知一区から出馬、六回目の当選を果たす。『減税論「増税やむなし」のデタラメ』（幻冬舎新書）など著書多数○当選六回（40 41 42 43 44 50）
（令和7年3月現在）"
神田　潤一,"神田　潤一（かんだ　じゅんいち）
小選挙区（青森県第二区）選出、自由民主党・無所属の会
法務大臣政務官
昭和四十五年九月青森県八戸市に生まれる、青森県立八戸高校卒業、東京大学経済学部卒業、米国イェール大学院修了（国際開発経済専攻）○日本銀行職員（金融機構局考査運営課市場・流動性考査グループ長）、金融庁出向（総務企画局信用制度参事官室企画官）、日本生命出向（リスク管理統括部調査役）、マネーフォワード執行役員、フィンテック協会常務理事○内閣府大臣政務官、法務大臣政務官○自由民主党中央政治大学院副学院長○当選二回（49 50）
（令和7年3月現在）"
城井　崇,"城井　崇（きい　たかし）
小選挙区（福岡県第十区）選出、立憲民主党・無所属
昭和四十八年六月二十三日福岡県北九州市門司区田野浦に生まれる、京都大学総合人間学部卒業○松下政経塾卒塾、前原誠司衆議院議員秘書、社会福祉法人理事○平成十五年初当選○現在、立憲民主党政務調査会会長代理（筆頭代理）、立憲民主党福岡県連代表、立憲民主党福岡県第十区総支部長○衆議院予算委員会理事、衆議院文部科学委員会理事、衆議院国土交通委員会筆頭理事○文部科学大臣政務官○当選五回（43 45 48 49 50）
（令和7年3月現在）"
城内　実,"城内　実（きうち　みのる）
小選挙区（静岡県第七区）選出、自由民主党・無所属の会
内閣府特命担当大臣
昭和四十年四月東京都新宿区に生まれる、東京大学教養学部教養学科国際関係論分科卒業○外務省首席事務官、総理府国際平和協力隊員○星槎国際高等学校講師、拓殖大学客員教授○外務大臣政務官、外務副大臣、環境副大臣、経済安全保障担当大臣、内閣府特命担当大臣（クールジャパン戦略、知的財産戦略、科学技術政策、宇宙政策、経済安全保障）○自由民主党外交部会長、経済産業部会長、情報調査局長、国会対策委員会副委員長、静岡県支部連合会会長○衆議院北朝鮮による拉致問題等に関する特別委員長、外務委員長、郵政改革に関する特別委員、外務委員会理事、国家安全保障に関する特別委員会理事、法務委員会理事、経済産業委員会理事○著書「政治家の裏事情」（幻冬舎、平成二十四年）○当選七回（43 45 46 47 48 49 50）
（令和7年3月現在）"
黄川田　仁志,"黄川田　仁志（きかわだ　ひとし）
小選挙区（埼玉県第三区）選出、自由民主党・無所属の会
昭和四十五年東京都世田谷区に生まれる、米国メリーランド大学大学院修了、理学修士○また東和科学株式会社社員、国連環境計画主任研究員、財団法人松下政経塾塾生・研究生、海洋政策研究財団研究員を経て、現在に至る○外務大臣政務官、内閣府副大臣○衆議院外務委員長○自由民主党国防部会長、自由民主党宇宙海洋開発特別委員会海洋総合戦略小委員会事務局長○当選五回（46 47 48 49 50）
（令和7年3月現在）"
菊田　真紀子,"菊田　真紀子（きくた　まきこ）
小選挙区（新潟県第二区）選出、立憲民主党・無所属
懲罰委員長
昭和四十四年十月二十四日新潟県加茂市に生まれる、県立加茂高校卒業、中国黒龍江大学留学○加茂市議会議員二期○外務大臣政務官○民主党政策調査会副会長、女性委員長、幹事長代行、ネクスト少子化・男女共同参画担当大臣、幹事長代理、財務委員長、新潟県連代表。民進党財務局長、男女共同参画推進本部長、ネクスト文部科学大臣。立憲民主党筆頭幹事長代理、国民運動局長、代議士会長、倫理委員長、拉致問題対策本部副本部長、ネクスト文部科学大臣、ネクスト子ども政策担当大臣、常任幹事会議長、新潟県連代表○衆議院外務委員会理事、文部科学委員会理事、青少年問題に関する特別委員会理事、沖縄及び北方問題に関する特別委員会理事、沖縄及び北方問題に関する特別委員長、懲罰委員長○当選八回（43 44 45 46 47 48 49 50）
（令和7年3月現在）"
菊池　大二郎,"菊池　大二郎（きくち　だいじろう）
比例代表（東北）選出、国民民主党・無所属クラブ
昭和五十七年七月山形県村山市楯岡笛田に生まれる、学習院大学法学部卒業、日本大学大学院法務研究科中退○行政書士、村山市議会議員、山形県議会議員、国会議員秘書○衆議院内閣委員、東日本大震災復興・防災・災害対策に関する特別委員○当選一回（50）
（令和7年3月現在）"
岸　信千世,"岸　信千世（きし　のぶちよ）
小選挙区（山口県第二区）選出、自由民主党・無所属の会
デジタル大臣政務官、内閣府大臣政務官
平成三年五月十六日米国オレゴン州ポートランドに生まれる、本籍山口県熊毛郡田布施町。慶應義塾大学商学部卒業○フジテレビ社会部記者、防衛大臣秘書官、衆議院議員岸信夫秘書○自由民主党青年局次長、広報戦略局次長、デジタル社会推進本部事務局次長・サイバーセキュリティPT事務局次長、女性活躍推進特別委員会事務局次長、商工・中小企業関係団体委員会副委員長、情報・通信関係団体委員会副委員長、国会対策委員○衆議院財務金融委員、文部科学委員、消費者問題に関する特別委員、政治改革に関する特別委員○当選二回（49補 50）
（令和7年3月現在）"
岸田　文雄,"岸田　文雄（きしだ　ふみお）
小選挙区（広島県第一区）選出、自由民主党・無所属の会
昭和三十二年七月東京都渋谷区に生まれる、早稲田大学法学部卒業○（株）日本長期信用銀行行員、衆議院議員秘書○建設政務次官、文部科学副大臣、内閣府特命担当大臣（沖縄北方対策・科学技術・国民生活・規制改革）、消費者行政推進担当大臣、宇宙開発担当大臣、外務大臣、防衛大臣、内閣総理大臣○衆議院議院運営委員会理事、消費者問題に関する特別委員会筆頭理事、文部科学委員会筆頭理事、国土交通委員会筆頭理事、国家基本政策委員会筆頭理事、厚生労働委員長○自由民主党青年局長、政務調査会商工部会長、消費者問題調査会長、副幹事長、経理局長、団体総局長、選挙対策局長代理、広島県支部連合会会長、国会対策委員長、政務調査会長、総裁○宏池会会長○当選十一回（40 41 42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
岸田　光広,"岸田　光広（きしだ　みつひろ）
比例代表（北関東）選出、国民民主党・無所属クラブ
昭和四十二年、兵庫県尼崎市に生まれる、早稲田大学社会科学部卒業、米国メリーランド大学大学院（スミススクール）修了○信金中央金庫、ファイザー（株）、アルプスアルパイン（株）○尼崎市議会議員（三期）○当選一回（50）
（令和7年3月現在）"
北神　圭朗,"北神　圭朗（きたがみ　けいろう）
小選挙区（京都府第四区）選出、有志の会
昭和四十二年二月東京都杉並区に生まれる、京都大学法学部卒業○大蔵省入省後、主税局総務課係長、内閣官房内政審議室内閣事務官、金融庁監督部保険課課長補佐、岩手県農林水産部農林水産企画監等となる○野田内閣にて経済産業大臣政務官、内閣府大臣政務官、内閣総理大臣補佐官○衆議院農林水産委員、衆議院憲法審査会委員○中央大学大学院公共政策研究科客員教授、同志社大学大学院総合政策科学研究科嘱託講師、京都先端科学大学特別招聘客員教授○著書「国家の骨格」○当選五回（44 45 47繰 49 50）
（令和7年3月現在）"
北野　裕子,"北野　裕子（きたの　ゆうこ）
比例代表（近畿）選出、参政党
昭和六十年九月京都府京都市に生まれる、京都光華女子大学人間関係学科中退○会社員○参政党ボードメンバー○衆議院環境委員○当選一回（50）
（令和7年3月現在）"
木原　誠二,"木原　誠二（きはら　せいじ）
小選挙区（東京都第二十区）選出、自由民主党・無所属の会
昭和四十五年六月八日東京都新宿区に生まれる、東京大学法学部卒業、ロンドン大学LSE修士卒○財務省大臣官房課長補佐、英国大蔵省初代出向、平成十七年衆議院議員総選挙にて初当選○内閣官房副長官、外務副大臣、外務大臣政務官○自由民主党選挙対策委員長、幹事長代理兼政調会長特別補佐、国会対策委員会副委員長、税制調査会幹事、行政改革推進本部事務局長、金融調査会事務局長、財政・金融・証券関係団体委員長、財務金融部会部会長代理、観光立国調査会副会長、政務調査会副会長兼事務局長○衆議院内閣委員長、議院運営委員会理事、安全保障委員会理事、財務金融委員、厚生労働委員、国家基本政策委員、政治改革特別委員、外務委員○著書「英国大蔵省から見た日本」文春新書○当選六回（44 46 47 48 49 50）
（令和7年3月現在）"
木原　稔,"木原　稔（きはら　みのる）
小選挙区（熊本県第一区）選出、自由民主党・無所属の会
昭和四十四年八月十二日熊本市に生まれる、熊本県立済々黌高校・早稲田大学教育学部卒業、日本航空（株）社員○防衛大臣、内閣総理大臣補佐官、財務副大臣、防衛大臣政務官○自民党安全保障調査会長、政務調査会副会長（兼）事務局長、選挙対策委員会副委員長（兼）事務局長、教育再生本部副本部長、行政改革本部長補佐、青年局長、文部科学部会長、安全保障調査会事務局長○衆議院国土交通委員長、憲法審査会幹事、文部科学委員会理事、北朝鮮による拉致問題等特別委員会理事○当選六回（44 46 47 48 49 50）
（令和7年3月現在）"
吉良　州司,"吉良　州司（きら　しゅうじ）
小選挙区（大分県第一区）選出、有志の会
昭和三十三年三月大分県玖珠郡玖珠町に生まれる、東京大学法学部政治学科卒業○日商岩井米国会社ニューヨーク本社部長、日商岩井株式会社課長○平成十五年十一月、第四十三回衆議院議員総選挙にて無所属で初当選○平成十六年十一月、民主党入党、党沖北委員長、党外務部門・防衛部門会議座長、令和三年十一月有志の会代表○衆議院北朝鮮による拉致問題等に関する特別委員長○外務副大臣、外務大臣政務官○当選七回（43 44 45 47 48 49 50）
（令和7年3月現在）"
金城　泰邦,"金城　泰邦（きんじょう　やすくに）
比例代表（九州）選出、公明党
文部科学大臣政務官
昭和四十四年七月十六日沖縄県那覇市に生まれる。沖縄国際大学法学部卒業○白保台一衆議院議員（沖縄一区選出）公設秘書○沖縄県浦添市議会議員二期、沖縄県議会議員一期○文部科学大臣政務官○公明党沖縄方面副本部長、公明党沖縄県本部代表代行○当選二回（49 50）
（令和7年3月現在）"
草間　剛,"草間　剛（くさま　つよし）
小選挙区（神奈川県第十九区）選出、自由民主党・無所属の会
昭和五十七年一月神奈川県横浜市戸塚区に生まれる、青山学院大学法学部公法学科卒業、早稲田大学大学院公共経営研究科修了○横浜市会議員、東京大学先端科学技術研究センター客員研究員、多摩大学ルール形成戦略研究所客員研究員、ローカル・マニフェスト推進地方議員連盟共同代表、自治体経済安全保障研究会共同幹事、早稲田大学マニフェスト研究所事務局長○自民党川崎市連副会長、自民党横浜市連青年局長・広報委員長、横浜市会政策・総務・財政常任委員会委員長、日本アフリカ友好横浜市会議員連盟事務局長○当選一回（50）
（令和7年3月現在）"
櫛渕　万里,"櫛渕　万里（くしぶち　まり）
比例代表（東京都）選出、れいわ新選組
一九六七年、群馬県沼田市生まれ。立教大学卒業。国際交流NGOピースボートに十七年勤務し、共同代表および事務局長。世界八十カ国地域で人道支援や国際協力、環境保護などに従事する。法政大学国連グローバル・コンパクト研究センター共同代表。明治学院大学国際平和研究所（PRIME）客員研究員。二〇〇九年に衆議院議員に初当選。その後、民主党および民進党東京都第二十三区総支部長。一般社団法人全国ご当地エネルギー協会事務局長。れいわ新選組東京都第二十二区総支部長および党本部職員を経て、二〇二二年に衆議院議員に再選○当選三回（45 49繰 50）
（令和7年3月現在）"
工藤　彰三,"工藤　彰三（くどう　しょうぞう）
比例代表（東海）選出、自由民主党・無所属の会
昭和三十九年十二月愛知県名古屋市熱田区に生まれる、中央大学商学部卒業、名古屋市会議員○内閣府副大臣、国土交通大臣政務官○自由民主党内閣第一部会長○衆内閣委員会理事、災害対策特別委員会理事、国土交通委員、経済産業委員○当選五回（46 47 48 49 50）
（令和7年3月現在）"
国定　勇人,"国定　勇人（くにさだ　いさと）
比例代表（北陸信越）選出、自由民主党・無所属の会
国土交通大臣政務官、内閣府大臣政務官、復興大臣政務官
昭和四十七年八月東京都千代田区神保町に生まれる、一橋大学商学部卒業、総務省課長補佐、三条市長、環境大臣政務官、国交大臣政務官兼内閣府大臣政務官兼復興大臣政務官○当選二回（49 50）
（令和7年3月現在）"
国光　あやの,"国光　あやの（くにみつ　あやの）
比例代表（北関東）選出、自由民主党・無所属の会
昭和五十四年三月山口県に生まれる、長崎大学医学部卒業、米国カリフォルニア大学ロサンゼルス校公衆衛生大学院修士課程修了、東京医科歯科大学大学院博士課程修了○医師、医学博士。国立病院機構災害医療センター・国立病院機構東京医療センター医師。厚生労働省老健局老人保健課主査、保険局医療課課長補佐○自由民主党文部科学部会副部会長、茨城県第六選挙区支部長○衆議院経済産業委員、総務委員、東日本大震災復興・防災・災害対策に関する特別委員○当選三回（48 49 50）
（令和7年3月現在）"
栗原　渉,"栗原　渉（くりはら　わたる）
小選挙区（福岡県第五区）選出、自由民主党・無所属の会
昭和四十年九月二十七日福岡県朝倉市に生まれる、東京国際大学教養学部卒業○衆議院議員太田誠一秘書、福岡県議会議員（四期）、福岡県議会農林水産常任委員会委員長、福岡県議会議長○福岡県樹苗農業協同組合組合長、福岡県遺族連合会副会長・青年部活動推進部長○当選一回（50）
（令和7年3月現在）"
黒岩　宇洋,"黒岩　宇洋（くろいわ　たかひろ）
小選挙区（新潟県第三区）選出、立憲民主党・無所属
昭和四十一年十月十三日生まれ。新潟県大和町立浦佐小学校、同大和中学校、新潟県立六日町高校を経て、同六十年東京大学教養学部文科Ｉ類に入学、同六十二年同法学部進学後、平成三年中退○平成二年大学在学中に（財）住宅産業研修財団に就職。同十三年（株）日本アビリティーズ社に入社○同十四年参議院新潟県選挙区初当選、同十八年参議院沖縄及び北方問題に関する特別委員長に就任○同二十一年衆議院選挙新潟三区から初当選、法務大臣政務官など○当選四回（45 47 48 50）参一回（19補）
（令和7年3月現在）"
黒田　征樹,"黒田　征樹（くろだ　まさき）
小選挙区（大阪府第十六区）選出、日本維新の会
昭和五十四年十二月大阪府堺市に生まれる、堺市立登美丘中学校卒業○会社員、会社役員、堺市議会議員四期○衆議院総務委員会委員、衆議院経済産業委員会委員○当選一回（50）
（令和7年3月現在）"
玄葉　光一郎,"衆議院副議長
玄葉　光一郎（げんば　こういちろう）
小選挙区（福島県第二区）選出、無所属
昭和三十九年福島県田村市に生まれる、上智大学法学部卒業○松下政経塾塾員○福島県議会議員○衆議院副議長○外務大臣、国家戦略担当、宇宙開発担当、公務員制度改革担当国務大臣、内閣府特命担当大臣（「新しい公共」・少子化対策・男女共同参画・科学技術政策）○民主党「次の内閣」総務大臣、選挙対策委員長、幹事長代理、分権調査会長、政策調査会長○衆議院青少年問題に関する特別委員長、財務金融委員長、決算行政監視委員長○平成三十年五月永年在職議員として衆議院より表彰される○当選十一回（40 41 42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
源馬　謙太郎,"源馬　謙太郎（げんま　けんたろう）
小選挙区（静岡県第八区）選出、立憲民主党・無所属
昭和四十七年十二月静岡県浜松市舞阪町に生まれる、成蹊大学法学部卒業、アメリカン大学大学院卒業○カンボジア小型武器回収プロジェクト、松下政経塾、静岡県議会議員○当選三回（48 49 50）
（令和7年3月現在）"
小池　正昭,"小池　正昭（こいけ　まさあき）
小選挙区（千葉県第十区）選出、自由民主党・無所属の会
昭和四十一年九月千葉県成田市に生まれる、日本大学大学院理工学研究科修士課程修了○成田市議会議員、千葉県議会議員○当選一回（50）
（令和7年3月現在）"
小泉　進次郎,"小泉　進次郎（こいずみ　しんじろう）
小選挙区（神奈川県第十一区）選出、自由民主党・無所属の会
昭和五十六年四月神奈川県横須賀市に生まれる、関東学院大学経済学部卒業、米国コロンビア大学大学院政治学部修了○米国戦略国際問題研究所研究員、衆議院議員秘書○内閣府大臣政務官、復興大臣政務官、環境大臣、内閣府特命担当大臣（原子力防災）○自由民主党神奈川県第十一選挙区支部長、青年局長、農林部会長、副幹事長、厚労部会長、総務会長代理、国会対策委員会副委員長、選挙対策委員長○衆議院安全保障委員長○当選六回（45 46 47 48 49 50）
（令和7年3月現在）"
小泉　龍司,"小泉　龍司（こいずみ　りゅうじ）
小選挙区（埼玉県第十一区）選出、自由民主党・無所属の会
昭和二十七年九月東京都に生まれる、東京大学法学部卒業○大蔵省勤務、コロンビア大学大学院客員研究員○大蔵省銀行局金融市場室長、大蔵省証券局調査室長となる○前法務大臣○党国際局長○衆議院財務金融委員○著書「日本の進路を拓く」○当選八回（42 43 45 46 47 48 49 50）
（令和7年3月現在）"
神津　たけし,"神津　たけし（こうづ　たけし）
小選挙区（長野県第三区）選出、立憲民主党・無所属
昭和五十二年一月神奈川県鎌倉市に生まれる、政策研究大学院大学修了、元JICA企画調査員（南アフリカ、ケニア、チュニジア、コートジボワール、ルワンダ駐在）、アフリカ開発銀行アドバイザー○立憲民主党長野三区総支部長○当選二回（49 50）
（令和7年3月現在）"
河野　太郎,"河野　太郎（こうの　たろう）
小選挙区（神奈川県第十五区）選出、自由民主党・無所属の会
昭和三十八年一月十日、神奈川県平塚市出身、米国ジョージタウン大学卒業○会社員、株式会社湘南ベルマーレ代表取締役会長○外務大臣、防衛大臣、国家公安委員会委員長、デジタル大臣、行政改革担当大臣、国家公務員制度担当大臣、ワクチン接種推進担当大臣、デジタル行財政改革担当大臣、デジタル田園都市国家構想担当大臣、内閣府特命担当大臣（防災、規制改革、沖縄及び北方対策、消費者及び食品安全、デジタル改革）○衆議院外務委員長○自由民主党神奈川県連会長、国際局長、行革推進本部長、広報本部長○当選十回（41 42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
高村　正大,"高村　正大（こうむら　まさひろ）
小選挙区（山口県第一区）選出、自由民主党・無所属の会
法務副大臣
昭和四十五年十一月生、慶應義塾大学商学部卒業、慶應義塾大学法学部政治学科卒業○国務大臣経済企画庁長官秘書官、外務大臣秘書官、株式会社電通社員○財務大臣政務官、外務大臣政務官、法務副大臣○当選三回（48 49 50）
（令和7年3月現在）"
古賀　篤,"古賀　篤（こが　あつし）
小選挙区（福岡県第三区）選出、自由民主党・無所属の会
昭和四十七年七月福岡県福岡市に生まれる、東京大学法学部卒業○平成九年四月大蔵省入省、平成二十四年五月財務省退職○平成二十七年十月総務大臣政務官兼内閣府大臣政務官、令和三年十月厚生労働副大臣、令和五年十二月内閣府副大臣○令和六年十一月自由民主党政務調査会副会長○令和四年十月衆議院環境委員長○令和元年三月保育士資格取得○当選五回（46 47 48 49 50）
（令和7年3月現在）"
國場　幸之助,"國場　幸之助（こくば　こうのすけ）
比例代表（九州）選出、自由民主党・無所属の会
昭和四十八年一月沖縄県那覇市に生まれる、日本大学文理学部哲学科中退後、早稲田大学社会科学部卒業、雄弁会幹事長。会社員の後、沖縄県議会議員（二期）、国土交通副大臣、外務大臣政務官、自由民主党総裁特別補佐、同国防部会長、同経済産業部会長代理、同青年局次長、同国会対策委員会副委員長、同副幹事長、同沖縄県支部連合会会長○当選五回（46 47 48 49 50）
（令和7年3月現在）"
輿水　恵一,"輿水　恵一（こしみず　けいいち）
比例代表（北関東）選出、公明党
復興副大臣
昭和三十七年二月山梨県北杜市高根町清里に生まれる、青山学院大学理工学部卒業、キヤノン株式会社、さいたま市議会議員三期を経て衆議院議員○総務大臣政務官、復興副大臣○埼玉県本部副代表、栃木県本部顧問○当選四回（46 47 49 50）
（令和7年3月現在）"
