No,氏名,ふりがな,会派,選挙区,当選回数,生年月日,表面,本質,意思決定,隠れ,希望,プロフィール
109,尾辻 かな子君,おつじ かなこ,立憲,（比）近畿,2（参1）,1974/12/16,猿,ペガサス,狼,ゾウ,ひつじ,"尾辻 かな子（おつじ かなこ）
 比例代表（近畿）選出、立憲民主党・無所属
 一九七四年十二月十六日生まれ。大阪府出身。兵庫県立夢野台高等学校卒業。高知大学農学部中退。同志社大学商学部卒業○二〇〇三年大阪府議会議員に最年少当選、二〇一三年参議院議員に当選。性的マイノリティであることを公表した初の国会議員○社会福祉士、介護福祉士、MSW（医療ソーシャルワーカー）、LGBT政策情報センター代表理事○二〇一七年、二〇二四年、衆議院近畿選挙区立憲民主党比例代表で当選○衆議院国土交通委員、消費者問題に関する特別委員会理事○著書「カミングアウト〜自分らしさを見つける旅」訳書「タンタンタンゴはパパふたり」○当選二回（48 50）参一回（21繰）
 （令和7年3月現在）"
110,鬼木 誠君,おにき まこと,自民,（比）九州,5,1972/10/16,こじか,ゾウ,たぬき,狼,猿,"鬼木 誠（おにき まこと）
 比例代表（九州）選出、自由民主党・無所属の会
 昭和四十七年十月福岡県福岡市に生まれる、九州大学法学部卒業○銀行員、福岡県議会議員○環境大臣政務官、防衛副大臣四期○衆議院安全保障委員長○自由民主党国防部会長、財務金融部会長代理、税制調査会幹事、社会保障制度調査会幹事、厚生労働部会長代理○当選五回（46 47 48 49 50）
 （令和7年3月現在）"
111,小野寺 五典君,おのでら いつのり,自民,宮城5,9,1960/5/5,狼,狼,ライオン,狼,虎,"小野寺 五典（おのでら いつのり）
 小選挙区（宮城県第五区）選出、自由民主党・無所属の会
 昭和三十五年五月五日宮城県気仙沼市に生まれる、東京水産大学海洋環境工学科卒業、東京大学大学院法学政治学研究科修了○宮城県職員、松下政経塾研究員、東北福祉大学専任講師、助教授、客員教授、衆議院議員を経て、学校法人増子学園理事長、東北福祉大学特任教授、自由民主党宮城県第六選挙区支部長となる○衆議院農林水産委員、外務委員、イラク支援特別委員、災害対策特別委員、外務大臣政務官、北朝鮮による拉致特別委員、憲法調査特別委員、外務副大臣、予算委員、外務委員会理事、議院運営委員会理事、党国会対策副委員長、東日本大震災復興特別委員、沖縄及び北方問題に関する特別委員長、防衛大臣、党政調会長代理、党組織運動本部長となる。現在、党政務調査会長○当選九回（41補 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
112,小渕 優子君,おぶち ゆうこ,自民,群馬5,9,1973/12/11,猿,ゾウ,こじか,ペガサス,ひつじ,"小渕 優子（おぶち ゆうこ）
 小選挙区（群馬県第五区）選出、自由民主党・無所属の会
 昭和四十八年十二月東京都北区王子本町に生まれる、成城大学経済学部卒業、早稲田大学大学院修了○株式会社東京放送勤務を経て、衆議院議員小渕恵三秘書となる○文部科学大臣政務官、内閣府特命担当大臣（少子化対策・男女共同参画）、財務副大臣、経済産業大臣○現在、自由民主党組織運動本部長、党群馬県支部連合会会長○衆議院文部科学委員長○当選九回（42 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
113,海江田 万里君,かいえだ ばんり,立憲,東京1,9,1949/2/26,ゾウ,狼,ひつじ,たぬき,猿,"海江田 万里（かいえだ ばんり）
 小選挙区（東京都第一区）選出、立憲民主党・無所属
 昭和二十四年二月東京都杉並区に生まれる、慶應義塾大学法学部卒業後、参議院議員秘書を経て、経済評論家○日本新党常任幹事、新会派・民主新党クラブ代表、新党・市民リーグ代表などを歴任○民主党結党後、党常任幹事、党都連会長、党政策調査会長などを歴任○立憲民主党では党常任顧問、党税制調査会長などを務める○内閣府特命担当大臣（経済財政政策担当、科学技術政策担当）、経済産業大臣○衆議院財務金融委員長、経済産業委員長、決算行政監視委員長○民主党代表○第六十八代衆議院副議長○著書「手にとるように税金がわかる本」「海江田ノート〜原発との闘争176日の記録」「人間万里塞翁馬」「蘇軾〜その詩と人生」「陶淵明〜その詩と人生」「李白〜その詩と人生」など多数○当選九回（40 41 42 43 45 46 48 49 50）
 （令和7年3月現在）"
114,河西 宏一君,かさい こういち,公明,（比）東京,2,1979/6/25,ペガサス,虎,ひつじ,虎,こじか,"河西 宏一（かさい こういち）
 比例代表（東京都）選出、公明党
 昭和五十四年六月二十五日新潟県長岡市に生まれ、神奈川県鎌倉市で育つ○創価中学・高校を経て、東京大学工学部卒業○元パナソニック株式会社社員、元団体職員、元政党職員。令和三年十月衆議院議員となる○公明党青年委員会副委員長、学生局長、政治改革本部事務局次長、総合企画本部事務局次長○公明党東京都本部副代表、選挙対策委員長代理○衆議院予算委員会委員、内閣委員会委員、地域活性化・こども政策・デジタル社会形成に関する特別委員会理事○公明党内閣部会長、財政・金融部会長代理、税務調査会事務局次長、デジタル社会推進本部事務局次長○当選二回（49 50）
 （令和7年3月現在）"
115,梶山 弘志君,かじやま ひろし,自民,茨城4,9,1955/10/18,くろひょう,虎,こじか,チーター,たぬき,"梶山 弘志（かじやま ひろし）
 小選挙区（茨城県第四区）選出、自由民主党・無所属の会
 昭和三十年十月十八日茨城県常陸太田市に生まれる、日本大学法学部卒業○動力炉核燃料開発事業団（現日本原子力開発機構）社員、また自ら会社を設立、代表となる○国土交通大臣政務官、国土交通副大臣、内閣府特命担当大臣、経済産業大臣○自由民主党経済産業部会長代理、副幹事長、広報戦略局長、副政調会長、経理局長、選挙対策委員会事務局長、情報調査局長、政務調査会長代理○衆議院議院運営委員会理事、農林水産委員会理事、経済産業委員会筆頭理事、国土交通委員長、災害対策特別委員長○当選九回（42 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
116,勝俣 孝明君,かつまた たかあき,自民,（比）東海,5,1976/4/7,たぬき,ひつじ,たぬき,虎,ひつじ,"勝俣 孝明（かつまた たかあき）
 比例代表（東海）選出、自由民主党・無所属の会
 昭和五十一年四月七日静岡県沼津市に生まれる。学習院大学経済学部卒業、慶應義塾大学大学院経営管理研究科修了。スルガ銀行株式会社人事担当マネージャー、財団法人企業経営研究所研究員、沼津市人事委員会臨時委員。現在は衆議院議員○自民党政調副会長○環境大臣政務官、農林水産副大臣○衆議院外務委員長○当選五回（46 47 48 49 50）
 （令和7年3月現在）"
117,勝目 康君,かつめ やすし,自民,京都1,2,1974/5/17,ライオン,虎,猿,ひつじ,たぬき,"勝目 康（かつめ やすし）
 小選挙区（京都府第一区）選出、自由民主党・無所属の会
 環境大臣政務官、内閣府大臣政務官
 昭和四十九年五月京都府京都市に生まれる、東京大学法学部卒業○環境大臣政務官兼内閣府大臣政務官○総務省地域振興室長、京都府総務部長、内閣官房副長官秘書官、在フランス日本国大使館一等書記官○自由民主党京都府第一選挙区支部長○当選二回（49 50）
 （令和7年3月現在）"
118,加藤 鮎子君,かとう あゆこ,自民,山形3,4,1979/4/19,くろひょう,たぬき,くろひょう,ひつじ,たぬき,"加藤 鮎子（かとう あゆこ）
 小選挙区（山形県第三区）選出、自由民主党・無所属の会
 昭和五十四年四月十九日山形県鶴岡市に生まれる、慶應義塾大学法学部卒業、米国コロンビア大学院修了○株式会社ドリームインキュベータ（経営戦略コンサルティング）、日本国際交流センター、ピープルフォーカス・コンサルティング株式会社（組織開発支援事業）、衆議院議員秘書となる。環境大臣政務官、内閣府大臣政務官、自民党副幹事長、女性局次長、青年局次長、農林部会副部会長、国土交通大臣政務官、内閣府特命担当大臣（こども政策、少子化対策、若者活躍、男女共同参画）を歴任○当選四回（47 48 49 50）
 （令和7年3月現在）"
119,加藤 勝信君,かとう かつのぶ,自民,岡山3,8,1955/11/22,狼,狼,くろひょう,たぬき,こじか,"加藤 勝信（かとう かつのぶ）
 小選挙区（岡山県第三区）選出、自由民主党・無所属の会
 財務大臣、内閣府特命担当大臣
 昭和三十年十一月東京都に生まれる、東京大学経済学部卒業○大蔵省入省、農林水産大臣秘書官、大蔵省大臣官房企画官、衆議院議員加藤六月秘書、川崎医療福祉大学客員教授○内閣府大臣政務官、内閣官房副長官、内閣人事局長、国務大臣（一億総活躍・働き方改革・女性活躍・再チャレンジ・拉致問題・国土強靱化）、内閣府特命担当大臣（少子化対策・男女共同参画・拉致問題）、厚生労働大臣、内閣官房長官・国務大臣（沖縄基地負担軽減・拉致問題）、財務大臣・内閣府特命担当大臣（金融）・国務大臣（デフレ脱却）○自由民主党厚生労働部会長、総裁特別補佐・報道局長、総務会長○衆議院環境委員会理事、内閣委員会理事、厚生労働委員会理事、予算委員会理事、憲法審査会幹事○当選八回（43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
120,加藤 竜祥君,かとう りゅうしょう,自民,長崎2,2,1980/2/10,チーター,くろひょう,ゾウ,子守熊,ひつじ,"加藤 竜祥（かとう りゅうしょう）
 小選挙区（長崎県第二区）選出、自由民主党・無所属の会
 昭和五十五年二月長崎県島原市に生まれる、日本大学経済学部経済学科卒業○衆議院議員安倍晋三私設秘書、衆議院議員加藤寛治私設秘書○国土交通大臣政務官兼内閣府大臣政務官兼復興大臣政務官○当選二回（49 50）
 （令和7年3月現在）"
121,金子 恵美君,かねこ えみ,立憲,福島1,4（参1）,1965/7/7,くろひょう,ペガサス,こじか,ライオン,こじか,"金子 恵美（かねこ えみ）
 小選挙区（福島県第一区）選出、立憲民主党・無所属
 昭和四十年七月福島県保原町（現伊達市）に生まれる、法政大学文学部卒業、米カリフォルニア州立大学大学院修了、福島大学大学院修了○保原町議会議員、伊達市議会議員○内閣府大臣政務官兼復興大臣政務官○民主党副幹事長、民進党政務調査会長代理、立憲民主党政務調査会震災復興部会長、東北ブロック常任幹事、役員室次長、企業・団体交流委員会委員長代理、東日本大震災復興本部事務局長、次の内閣ネクスト農林水産大臣、福島県総支部連合会代表、福島県第一区総支部長○衆議院農林水産委員会理事、東日本大震災復興特別委員会理事○当選四回（47 48 49 50）参一回（21）
 （令和7年3月現在）"
122,金子 恭之君,かねこ やすし,自民,熊本4,9,1961/2/27,狼,ペガサス,こじか,ゾウ,チーター,"金子 恭之（かねこ やすし）
 小選挙区（熊本県第四区）選出、自由民主党・無所属の会
 東日本大震災復興・防災・災害対策に関する特別委員長
 昭和三十六年二月熊本県球磨郡深田村（現在あさぎり町）に生まれる、早稲田大学商学部卒業○自由民主党組織運動本部長、党政務調査会長代理、党林政対策委員長、党青年局長○衆議院農林水産委員、災害対策特別委員、国土交通委員長、厚生労働委員会与党筆頭理事、国土交通委員会与党筆頭理事、災害対策特別委員長○農林水産大臣政務官、国土交通副大臣○総務大臣○当選九回（42 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
123,金子 容三君,かねこ ようぞう,自民,長崎3,2,1983/2/1,ひつじ,ライオン,たぬき,子守熊,くろひょう,"金子 容三（かねこ ようぞう）
 小選挙区（長崎県第三区）選出、自由民主党・無所属の会
 防衛大臣政務官
 昭和五十八年二月長崎県長崎市に生まれ、慶應義塾大学法学部法律学科卒業、ウィリアムアンドメアリー大学経営大学院修了（MBA）○日興コーディアル証券株式会社（現SMBC日興証券株式会社）○防衛大臣政務官○当選二回（49補 50）
 （令和7年3月現在）"
124,金村 龍那君,かねむら りゅうな,維新,（比）南関東,2,1979/4/6,こじか,猿,ひつじ,ひつじ,猿,"金村 龍那（かねむら りゅうな）
 比例代表（南関東）選出、日本維新の会
 昭和五十四年四月六日愛知県名古屋市に生まれる、専修大学法学部法律学科中退○衆議院議員秘書、児童福祉施設運営会社社長○日本維新の会衆議院神奈川県第十選挙区支部長○衆議院厚労委員、政倫審委員○当選二回（49 50）
 （令和7年3月現在）"
125,鎌田 さゆり君,かまた さゆり,立憲,宮城2,4,1965/1/8,たぬき,くろひょう,ひつじ,ライオン,ゾウ,"鎌田 さゆり（かまた さゆり）
 小選挙区（宮城県第二区）選出、立憲民主党・無所属
 昭和四十年一月八日宮城県仙台市に生まれる、東北学院大学経済学部卒業、元仙台市議会議員、元宮城県議会議員○当選四回（42 43 49 50）
 （令和7年3月現在）"
126,上川 陽子君,かみかわ ようこ,自民,静岡1,8,1953/3/1,狼,チーター,ゾウ,ライオン,チーター,"上川 陽子（かみかわ ようこ）
 小選挙区（静岡県第一区）選出、自由民主党・無所属の会
 昭和二十八年三月静岡県静岡市に生まれる、東京大学教養学部卒業、米国ハーバード大学大学院政治行政学修士修了○（株）三菱総合研究所研究員、米国民主党ボーカス上院議員政策立案スタッフ（留学中）○外務大臣、法務大臣（三回）、内閣府特命担当大臣（男女共同参画・少子化対策）、公文書管理担当大臣、総務副大臣、総務大臣政務官○自由民主党幹事長代理、女性活躍推進本部長、一億総活躍推進本部長、憲法改正推進本部事務局長、司法制度調査会長○衆議院厚生労働委員長○著書「静岡発かみかわ陽子流視点を変えると見えてくる」「難問から逃げない」○当選八回（42 43 44 46 47 48 49 50）
 （令和7年3月現在）"
127,神谷 裕君,かみや ひろし,立憲,北海道10,3,1968/8/10,猿,虎,猿,チーター,猿,"神谷 裕（かみや ひろし）
 小選挙区（北海道第十区）選出、立憲民主党・無所属
 昭和四十三年八月十日東京都豊島区に生まれる、帝京大学文学部国際文化学科卒業○衆議院議員秘書、日本鰹鮪漁業協同組合連合会課長、参議院議員秘書、国務大臣秘書官○当選三回（48 49 50）
 （令和7年3月現在）"
128,亀井 亜紀子君,かめい あきこ,立憲,島根1,3（参1）,1965/5/14,くろひょう,ライオン,ライオン,狼,たぬき,"亀井 亜紀子（かめい あきこ）
 小選挙区（島根県第一区）選出、立憲民主党・無所属
 昭和四十年五月東京都に生まれる、学習院大学法学部政治学科卒業、カールトン大学（カナダ）マスコミュニケーション学科卒業○英語通訳、衆議院議員公設秘書○参議院議員○農林水産委員会委員○立憲民主党国際局長○共著「君も政治家になろう」○当選三回（48 49補 50）参一回（21）
 （令和7年3月現在）"
129,川内 博史君,かわうち ひろし,立憲,鹿児島1,8,1961/11/2,こじか,狼,ひつじ,くろひょう,狼,"川内 博史（かわうち ひろし）
 小選挙区（鹿児島県第一区）選出、立憲民主党・無所属
 昭和三十六年十一月二日鹿児島市原良町に生まれる、早稲田大学政経学部卒業○大和銀行に入行し、その後株式会社大月ホテル取締役、クロス・ヘッド株式会社取締役○立憲民主党鹿児島県第一区総支部代表、常任幹事会議長○衆議院国土交通委員長、政治倫理審査会長、文部科学委員長○当選八回（41 42 43 44 45 48 49繰 50）
 （令和7年3月現在）"
130,川崎 ひでと君,かわさき ひでと,自民,（比）東海,2,1981/11/4,ひつじ,ひつじ,ゾウ,くろひょう,チーター,"川崎 ひでと（かわさき ひでと）
 比例代表（東海）選出、自由民主党・無所属の会
 総務大臣政務官
 昭和五十六年十一月三重県伊賀市に生まれる、法政大学経済学部卒業○株式会社エヌ・ティ・ティ・ドコモ入社、十一年間の勤務を経て、平成二十九年八月衆議院議員川崎二郎秘書○総務大臣政務官○自由民主党青年局団体部長○当選二回（49 50）
 （令和7年3月現在）"
131,川原田 英世君,かわはらだ えいせい,立憲,（比）北海道,1,1983/1/12,ひつじ,ゾウ,たぬき,くろひょう,くろひょう,"川原田 英世（かわはらだ えいせい）
 比例代表（北海道）選出、立憲民主党・無所属
 昭和五十八年一月北海道網走市に生まれる、北海道向陽高校卒業○参議院議員秘書、衆議院議員公設秘書、網走市議会議員、水産加工会社役員○立憲民主党北海道第十二区総支部長○当選一回（50）
 （令和7年3月現在）"
132,河村 たかし君,かわむら たかし,保守,愛知1,6,1948/11/3,くろひょう,ひつじ,虎,ペガサス,たぬき,"河村 たかし（かわむら たかし）
 小選挙区（愛知県第一区）選出、日本保守党
 昭和二十三年十一月三日、名古屋市東区古出来に生まれる。一橋大学商学部卒業。古出来町奉賛会（地元の祭礼の会）名誉会長、元旭丘高校同窓会理事。衆議院国会等移転特別委員会委員長、法務委員会野党筆頭理事、裁判官訴追委員会第二代理委員長などを歴任。民主党時代、党副幹事長、特殊法人等改革本部事務局長、民主党Gメン座長などを務める。平成二十三年二月、衆議院議員から名古屋市長に転身、四期十五年を務める。令和五年十月、日本保守党の共同代表就任。令和六年十月、名古屋市長を退任し、衆議院選挙に愛知一区から出馬、六回目の当選を果たす。『減税論「増税やむなし」のデタラメ』（幻冬舎新書）など著書多数○当選六回（40 41 42 43 44 50）
 （令和7年3月現在）"
133,神田 潤一君,かんだ じゅんいち,自民,青森2,2,1970/9/27,虎,たぬき,たぬき,虎,こじか,"神田 潤一（かんだ じゅんいち）
 小選挙区（青森県第二区）選出、自由民主党・無所属の会
 法務大臣政務官
 昭和四十五年九月青森県八戸市に生まれる、青森県立八戸高校卒業、東京大学経済学部卒業、米国イェール大学院修了（国際開発経済専攻）○日本銀行職員（金融機構局考査運営課市場・流動性考査グループ長）、金融庁出向（総務企画局信用制度参事官室企画官）、日本生命出向（リスク管理統括部調査役）、マネーフォワード執行役員、フィンテック協会常務理事○内閣府大臣政務官、法務大臣政務官○自由民主党中央政治大学院副学院長○当選二回（49 50）
 （令和7年3月現在）"
134,城井 崇君,きい たかし,立憲,福岡10,5,1973/6/23,チーター,ペガサス,ひつじ,猿,たぬき,"城井 崇（きい たかし）
 小選挙区（福岡県第十区）選出、立憲民主党・無所属
 昭和四十八年六月二十三日福岡県北九州市門司区田野浦に生まれる、京都大学総合人間学部卒業○松下政経塾卒塾、前原誠司衆議院議員秘書、社会福祉法人理事○平成十五年初当選○現在、立憲民主党政務調査会会長代理（筆頭代理）、立憲民主党福岡県連代表、立憲民主党福岡県第十区総支部長○衆議院予算委員会理事、衆議院文部科学委員会理事、衆議院国土交通委員会筆頭理事○文部科学大臣政務官○当選五回（43 45 48 49 50）
 （令和7年3月現在）"
135,城内 実君,きうち みのる,自民,静岡7,7,1965/4/19,こじか,猿,狼,ひつじ,猿,"城内 実（きうち みのる）
 小選挙区（静岡県第七区）選出、自由民主党・無所属の会
 内閣府特命担当大臣
 昭和四十年四月東京都新宿区に生まれる、東京大学教養学部教養学科国際関係論分科卒業○外務省首席事務官、総理府国際平和協力隊員○星槎国際高等学校講師、拓殖大学客員教授○外務大臣政務官、外務副大臣、環境副大臣、経済安全保障担当大臣、内閣府特命担当大臣（クールジャパン戦略、知的財産戦略、科学技術政策、宇宙政策、経済安全保障）○自由民主党外交部会長、経済産業部会長、情報調査局長、国会対策委員会副委員長、静岡県支部連合会会長○衆議院北朝鮮による拉致問題等に関する特別委員長、外務委員長、郵政改革に関する特別委員、外務委員会理事、国家安全保障に関する特別委員会理事、法務委員会理事、経済産業委員会理事○著書「政治家の裏事情」（幻冬舎、平成二十四年）○当選七回（43 45 46 47 48 49 50）
 （令和7年3月現在）"
136,黄川田 仁志君,きかわだ ひとし,自民,埼玉3,5,1970/10/13,ひつじ,猿,ひつじ,狼,チーター,"黄川田 仁志（きかわだ ひとし）
 小選挙区（埼玉県第三区）選出、自由民主党・無所属の会
 昭和四十五年東京都世田谷区に生まれる、米国メリーランド大学大学院修了、理学修士○また東和科学株式会社社員、国連環境計画主任研究員、財団法人松下政経塾塾生・研究生、海洋政策研究財団研究員を経て、現在に至る○外務大臣政務官、内閣府副大臣○衆議院外務委員長○自由民主党国防部会長、自由民主党宇宙海洋開発特別委員会海洋総合戦略小委員会事務局長○当選五回（46 47 48 49 50）
 （令和7年3月現在）"
137,菊田 真紀子君,きくた まきこ,立憲,新潟2,8,1969/10/24,くろひょう,猿,チーター,たぬき,たぬき,"菊田 真紀子（きくた まきこ）
 小選挙区（新潟県第二区）選出、立憲民主党・無所属
 懲罰委員長
 昭和四十四年十月二十四日新潟県加茂市に生まれる、県立加茂高校卒業、中国黒龍江大学留学○加茂市議会議員二期○外務大臣政務官○民主党政策調査会副会長、女性委員長、幹事長代行、ネクスト少子化・男女共同参画担当大臣、幹事長代理、財務委員長、新潟県連代表。民進党財務局長、男女共同参画推進本部長、ネクスト文部科学大臣。立憲民主党筆頭幹事長代理、国民運動局長、代議士会長、倫理委員長、拉致問題対策本部副本部長、ネクスト文部科学大臣、ネクスト子ども政策担当大臣、常任幹事会議長、新潟県連代表○衆議院外務委員会理事、文部科学委員会理事、青少年問題に関する特別委員会理事、沖縄及び北方問題に関する特別委員会理事、沖縄及び北方問題に関する特別委員長、懲罰委員長○当選八回（43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
138,菊池 大二郎君,きくち だいじろう,国民,（比）東北,1,1982/7/9,ひつじ,狼,たぬき,狼,狼,"菊池 大二郎（きくち だいじろう）
 比例代表（東北）選出、国民民主党・無所属クラブ
 昭和五十七年七月山形県村山市楯岡笛田に生まれる、学習院大学法学部卒業、日本大学大学院法務研究科中退○行政書士、村山市議会議員、山形県議会議員、国会議員秘書○衆議院内閣委員、東日本大震災復興・防災・災害対策に関する特別委員○当選一回（50）
 （令和7年3月現在）"
139,岸 信千世君,きし のぶちよ,自民,山口2,2,1991/5/16,ライオン,ひつじ,たぬき,くろひょう,ゾウ,"岸 信千世（きし のぶちよ）
 小選挙区（山口県第二区）選出、自由民主党・無所属の会
 デジタル大臣政務官、内閣府大臣政務官
 平成三年五月十六日米国オレゴン州ポートランドに生まれる、本籍山口県熊毛郡田布施町。慶應義塾大学商学部卒業○フジテレビ社会部記者、防衛大臣秘書官、衆議院議員岸信夫秘書○自由民主党青年局次長、広報戦略局次長、デジタル社会推進本部事務局次長・サイバーセキュリティPT事務局次長、女性活躍推進特別委員会事務局次長、商工・中小企業関係団体委員会副委員長、情報・通信関係団体委員会副委員長、国会対策委員○衆議院財務金融委員、文部科学委員、消費者問題に関する特別委員、政治改革に関する特別委員○当選二回（49補 50）
 （令和7年3月現在）"
140,岸田 文雄君,きしだ ふみお,自民,広島1,11,1957/7/29,子守熊,チーター,こじか,こじか,こじか,"岸田 文雄（きしだ ふみお）
 小選挙区（広島県第一区）選出、自由民主党・無所属の会
 昭和三十二年七月東京都渋谷区に生まれる、早稲田大学法学部卒業○（株）日本長期信用銀行行員、衆議院議員秘書○建設政務次官、文部科学副大臣、内閣府特命担当大臣（沖縄北方対策・科学技術・国民生活・規制改革）、消費者行政推進担当大臣、宇宙開発担当大臣、外務大臣、防衛大臣、内閣総理大臣○衆議院議院運営委員会理事、消費者問題に関する特別委員会筆頭理事、文部科学委員会筆頭理事、国土交通委員会筆頭理事、国家基本政策委員会筆頭理事、厚生労働委員長○自由民主党青年局長、政務調査会商工部会長、消費者問題調査会長、副幹事長、経理局長、団体総局長、選挙対策局長代理、広島県支部連合会会長、国会対策委員長、政務調査会長、総裁○宏池会会長○当選十一回（40 41 42 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
141,岸田 光広君,きしだ みつひろ,国民,（比）北関東,1,1967/2/26,狼,ライオン,たぬき,チーター,チーター,"岸田 光広（きしだ みつひろ）
 比例代表（北関東）選出、国民民主党・無所属クラブ
 昭和四十二年、兵庫県尼崎市に生まれる、早稲田大学社会科学部卒業、米国メリーランド大学大学院（スミススクール）修了○信金中央金庫、ファイザー（株）、アルプスアルパイン（株）○尼崎市議会議員（三期）○当選一回（50）
 （令和7年3月現在）"
142,北神 圭朗君,きたがみ けいろう,有志,京都4,5,1967/2/1,こじか,子守熊,虎,虎,ライオン,"北神 圭朗（きたがみ けいろう）
 小選挙区（京都府第四区）選出、有志の会
 昭和四十二年二月東京都杉並区に生まれる、京都大学法学部卒業○大蔵省入省後、主税局総務課係長、内閣官房内政審議室内閣事務官、金融庁監督部保険課課長補佐、岩手県農林水産部農林水産企画監等となる○野田内閣にて経済産業大臣政務官、内閣府大臣政務官、内閣総理大臣補佐官○衆議院農林水産委員、衆議院憲法審査会委員○中央大学大学院公共政策研究科客員教授、同志社大学大学院総合政策科学研究科嘱託講師、京都先端科学大学特別招聘客員教授○著書「国家の骨格」○当選五回（44 45 47繰 49 50）
 （令和7年3月現在）"
143,北野 裕子君,きたの ゆうこ,参政,（比）近畿,1,1985/9/19,ライオン,ライオン,こじか,チーター,くろひょう,"北野 裕子（きたの ゆうこ）
 比例代表（近畿）選出、参政党
 昭和六十年九月京都府京都市に生まれる、京都光華女子大学人間関係学科中退○会社員○参政党ボードメンバー○衆議院環境委員○当選一回（50）
 （令和7年3月現在）"
144,木原 誠二君,きはら せいじ,自民,東京20,6,1970/6/8,ライオン,くろひょう,こじか,狼,ゾウ,"木原 誠二（きはら せいじ）
 小選挙区（東京都第二十区）選出、自由民主党・無所属の会
 昭和四十五年六月八日東京都新宿区に生まれる、東京大学法学部卒業、ロンドン大学LSE修士卒○財務省大臣官房課長補佐、英国大蔵省初代出向、平成十七年衆議院議員総選挙にて初当選○内閣官房副長官、外務副大臣、外務大臣政務官○自由民主党選挙対策委員長、幹事長代理兼政調会長特別補佐、国会対策委員会副委員長、税制調査会幹事、行政改革推進本部事務局長、金融調査会事務局長、財政・金融・証券関係団体委員長、財務金融部会部会長代理、観光立国調査会副会長、政務調査会副会長兼事務局長○衆議院内閣委員長、議院運営委員会理事、安全保障委員会理事、財務金融委員、厚生労働委員、国家基本政策委員、政治改革特別委員、外務委員○著書「英国大蔵省から見た日本」文春新書○当選六回（44 46 47 48 49 50）
 （令和7年3月現在）"
145,木原 稔君,きはら みのる,自民,熊本1,6,1969/8/12,チーター,くろひょう,猿,狼,たぬき,"木原 稔（きはら みのる）
 小選挙区（熊本県第一区）選出、自由民主党・無所属の会
 昭和四十四年八月十二日熊本市に生まれる、熊本県立済々黌高校・早稲田大学教育学部卒業、日本航空（株）社員○防衛大臣、内閣総理大臣補佐官、財務副大臣、防衛大臣政務官○自民党安全保障調査会長、政務調査会副会長（兼）事務局長、選挙対策委員会副委員長（兼）事務局長、教育再生本部副本部長、行政改革本部長補佐、青年局長、文部科学部会長、安全保障調査会事務局長○衆議院国土交通委員長、憲法審査会幹事、文部科学委員会理事、北朝鮮による拉致問題等特別委員会理事○当選六回（44 46 47 48 49 50）
 （令和7年3月現在）"
146,吉良 州司君,きら しゅうじ,有志,大分1,7,1958/3/16,ゾウ,ひつじ,くろひょう,ペガサス,子守熊,"吉良 州司（きら しゅうじ）
 小選挙区（大分県第一区）選出、有志の会
 昭和三十三年三月大分県玖珠郡玖珠町に生まれる、東京大学法学部政治学科卒業○日商岩井米国会社ニューヨーク本社部長、日商岩井株式会社課長○平成十五年十一月、第四十三回衆議院議員総選挙にて無所属で初当選○平成十六年十一月、民主党入党、党沖北委員長、党外務部門・防衛部門会議座長、令和三年十一月有志の会代表○衆議院北朝鮮による拉致問題等に関する特別委員長○外務副大臣、外務大臣政務官○当選七回（43 44 45 47 48 49 50）
 （令和7年3月現在）"
147,金城 泰邦君,きんじょう やすくに,公明,（比）九州,2,1969/7/16,こじか,ひつじ,チーター,ペガサス,こじか,"金城 泰邦（きんじょう やすくに）
 比例代表（九州）選出、公明党
 文部科学大臣政務官
 昭和四十四年七月十六日沖縄県那覇市に生まれる。沖縄国際大学法学部卒業○白保台一衆議院議員（沖縄一区選出）公設秘書○沖縄県浦添市議会議員二期、沖縄県議会議員一期○文部科学大臣政務官○公明党沖縄方面副本部長、公明党沖縄県本部代表代行○当選二回（49 50）
 （令和7年3月現在）"
148,草間 剛君,くさま つよし,自民,神奈川19,1,1982/1/16,ひつじ,狼,猿,くろひょう,くろひょう,"草間 剛（くさま つよし）
 小選挙区（神奈川県第十九区）選出、自由民主党・無所属の会
 昭和五十七年一月神奈川県横浜市戸塚区に生まれる、青山学院大学法学部公法学科卒業、早稲田大学大学院公共経営研究科修了○横浜市会議員、東京大学先端科学技術研究センター客員研究員、多摩大学ルール形成戦略研究所客員研究員、ローカル・マニフェスト推進地方議員連盟共同代表、自治体経済安全保障研究会共同幹事、早稲田大学マニフェスト研究所事務局長○自民党川崎市連副会長、自民党横浜市連青年局長・広報委員長、横浜市会政策・総務・財政常任委員会委員長、日本アフリカ友好横浜市会議員連盟事務局長○当選一回（50）
 （令和7年3月現在）"
