氏名,ふりがな,会派,選挙区,当選回数,生年月日,表面,本質,意思決定,隠れ,希望
空本 誠喜君,そらもと せいき,維新,広島4,3,1964/3/11,子守熊,くろひょう,たぬき,狼,こじか
平 将明君,たいら まさあき,自民,東京4,7,1967/2/21,猿,くろひょう,たぬき,ひつじ,こじか
高井 崇志君,たかい たかし,れ新,（比）北関東,4,1969/9/26,狼,たぬき,狼,ペガサス,ゾウ
高市 早苗君,たかいち さなえ,自民,奈良2,10,1961/3/7,子守熊,狼,ひつじ,くろひょう,こじか
高木 啓君,たかぎ けい,自民,東京12,3,1965/3/16,子守熊,虎,虎,ひつじ,こじか
高橋 永君,たかはし えい,立憲,（比）四国,1,1975/8/30,子守熊,子守熊,チーター,子守熊,虎
高橋 英明君,たかはし ひであき,維新,（比）北関東,2,1983/8/24,ペガサス,ペガサス,猿,たぬき,たぬき
高松 智之君,たかまつ さとし,立憲,東京28,1,1974/7/26,たぬき,くろひょう,猿,狼,ライオン
高見 康裕君,たかみ やすひろ,自民,島根2,2,1980/10/16,くろひょう,くろひょう,猿,ライオン,たぬき
たがや 亮君,たがや りょう,れ新,（比）南関東,2,1968/11/25,狼,狼,チーター,くろひょう,ペガサス
竹内 千春君,たけうち ちはる,立憲,（比）北関東,1,1968/7/4,猿,ゾウ,狼,虎,ひつじ
竹内 譲君,たけうち ゆずる,公明,（比）近畿,7,1958/6/25,ペガサス,子守熊,たぬき,くろひょう,こじか
竹上 裕子君,たけがみ ゆうこ,保守,（比）東海,1,1960/3/6,猿,狼,ライオン,狼,チーター
武部 新君,たけべ あらた,自民,北海道12,5,1970/7/20,たぬき,こじか,くろひょう,たぬき,ライオン
武正 公一君,たけまさ こういち,立憲,（比）北関東,7,1961/3/23,ライオン,ライオン,たぬき,ひつじ,狼
武村 展英君,たけむら のぶひで,自民,滋賀3,5,1972/1/21,こじか,チーター,チーター,ライオン,ゾウ
田嶋 要君,たじま かなめ,立憲,千葉1,8,1961/9/22,ゾウ,虎,こじか,ひつじ,子守熊
橘 慶一郎君,たちばな けいいちろう,自民,富山3,6,1961/1/23,こじか,くろひょう,狼,ひつじ,ライオン
辰巳 孝太郎君,たつみ こうたろう,共産,（比）近畿,1（参1）,1976/8/21,狼,チーター,くろひょう,狼,虎
田所 嘉徳君,たどころ よしのり,自民,（比）北関東,5,1954/1/19,たぬき,ゾウ,チーター,虎,こじか
田中 和徳君,たなか かずのり,自民,神奈川10,10,1949/1/21,こじか,チーター,猿,ライオン,ゾウ
田中 健君,たなか けん,国民,静岡4,2,1977/7/18,猿,虎,チータ,ライオン,チータ
田中 良生君,たなか りょうせい,自民,埼玉15,6,1963/11/11,ペガサス,虎,チーター,ひつじ,ひつじ
棚橋 泰文君,たなはし やすふみ,自民,岐阜2,10,1963/2/11,虎,ペガサス,ライオン,くろひょう,ライオン
谷 公一君,たに こういち,自民,兵庫5,8,1952/1/28,くろひょう,子守熊,猿,くろひょう,くろひょう
田野瀬 太道君,たのせ たいどう,自民,奈良3,5,1974/7/4,虎,虎,猿,子守熊,子守熊
田畑 裕明君,たばた ひろあき,自民,富山1,5,1973/1/2,狼,ひつじ,狼,虎,狼
玉木 雄一郎君,たまき ゆういちろう,国民,香川2,6,1969/5/1,狼,ゾウ,黒ひょう,猿,たぬき
田村 貴昭君,たむら たかあき,共産,（比）九州,4,1961/4/30,こじか,狼,くろひょう,狼,猿
田村 智子君,たむら ともこ,共産,（比）東京,1（参3）,1965/7/4,ライオン,くろひょう,虎,狼,ゾウ
田村 憲久君,たむら のりひさ,自民,三重1,10,1964/12/15,狼,ひつじ,くろひょう,虎,狼
丹野 みどり君,たんの みどり,国民,愛知11,1,1973/7/3,チーター,ゾウ,ひつじ,くろひょう,たぬき
辻 清人君,つじ きよと,自民,東京2,5,1979/9/7,チーター,ひつじ,くろひょう,ゾウ,チーター
辻 英之君,つじ ひでゆき,立憲,福井2,1,1970/5/8,ライオン,狼,ひつじ,くろひょう,たぬき
津島 淳君,つしま じゅん,自民,青森1,5,1966/10/18,たぬき,たぬき,チーター,虎,猿
土田 慎君,つちだ しん,自民,東京13,2,1990/10/30,ひつじ,くろひょう,虎,狼,ゾウ
土屋 品子君,つちや しなこ,自民,埼玉16,9,1952/2/9,虎,ペガサス,くろひょう,くろひょう,ライオン
堤 かなめ君,つつみ かなめ,立憲,（比）九州,2,1960/10/27,ひつじ,狼,狼,くろひょう,ゾウ
角田 秀穂君,つのだ ひでお,公明,（比）南関東,3,1961/3/25,子守熊,虎,ひつじ,こじか,たぬき
津村 啓介君,つむら けいすけ,立憲,（比）中国,7,1971/10/27,ひつじ,ペガサス,ゾウ,くろひょう,チーター
手塚 仁雄君,てづか よしお,立憲,東京5,6,1966/9/14,ゾウ,狼,虎,猿,猿
寺田 学君,てらた まなぶ,立憲,（比）東北,7,1976/9/20,ペガサス,ゾウ,くろひょう,虎,くろひょう
寺田 稔君,てらだ みのる,自民,（比）中国,7,1958/1/24,こじか,こじか,ライオン,たぬき,ゾウ
渡海 紀三朗君,とかい きさぶろう,自民,兵庫10,11,1948/2/11,猿,猿,狼,狼,こじか
冨樫 博之君,とがし ひろゆき,自民,秋田1,5,1955/4/27,くろひょう,虎,たぬき,ひつじ,チーター
徳安 淳子君,とくやす じゅんこ,維新,（比）近畿,1,1962/1/15,くろひょう,くろひょう,くろひょう,子守熊,くろひょう
永岡 桂子君,ながおか けいこ,自民,（比）北関東,7,1953/12/8,ライオン,狼,狼,狼,ライオン
中川 宏昌君,なかがわ ひろまさ,公明,（比）北陸信越,2,1970/7/15,たぬき,子守熊,ひつじ,虎,ペガサス
中川 康洋君,なかがわ やすひろ,公明,（比）東海,3,1968/2/12,子守熊,虎,猿,チーター,チーター
長坂 康正君,ながさか やすまさ,自民,（比）東海,5,1957/4/10,ひつじ,虎,チーター,チーター,ペガサス
中島 克仁君,なかじま かつひと,立憲,山梨1,5,1967/9/27,狼,ゾウ,ひつじ,ゾウ,ゾウ
長島 昭久君,ながしま あきひさ,自民,（比）東京,8,1962/2/17,猿,ひつじ,猿,くろひょう,こじか
中曽根 康隆君,なかそね やすたか,自民,群馬1,3,1982/1/19,たぬき,子守熊,チーター,こじか,ゾウ
中谷 一馬君,なかたに かずま,立憲,神奈川7,3,1983/8/30,ライオン,ペガサス,子守熊,猿,ペガサス
中谷 元君,なかたに げん,自民,高知1,12,1957/10/14,こじか,くろひょう,猿,狼,狼
中谷 真一君,なかたに しんいち,自民,（比）南関東,5,1976/9/30,ペガサス,ペガサス,くろひょう,くろひょう,くろひょう
中司 宏君,なかつか ひろし,維新,大阪11,2,1956/3/11,子守熊,ひつじ,チーター,ゾウ,たぬき
長妻 昭君,ながつま あきら,立憲,東京27,9,1960/6/14,ペガサス,子守熊,ライオン,くろひょう,こじか
長友 慎治君,ながとも しんじ,国民,（比）九州,2,1977/6/22,チーター,たぬき,猿,虎,たぬき
長友よしひろ君,ながとも よしひろ,立憲,（比）南関東,1,,-,-,-,-,-
中西 健治君,なかにし けんじ,自民,神奈川3,2（参2）,1964/1/4,虎,虎,ゾウ,チーター,ひつじ
中野 英幸君,なかの ひでゆき,自民,（比）北関東,2,1961/9/6,猿,子守熊,たぬき,こじか,猿
中野 洋昌君,なかの ひろまさ,公明,兵庫8,5,1978/1/4,狼,猿,ライオン,狼,くろひょう
中村 はやと君,なかむら はやと,無,茨城7,1,,-,-,-,-,-
中村 裕之君,なかむら ひろゆき,自民,（比）北海道,5,1961/2/23,ゾウ,狼,ひつじ,たぬき,猿
仁木 博文君,にき ひろぶみ,自民,徳島1,3,1966/5/23,ペガサス,狼,狼,ゾウ,ライオン
西岡 秀子君,にしおか ひでこ,国民,長崎1,3,1964/3/15,猿,虎,こじか,虎,チーター
西岡 義高君,にしおか よしたか,国民,（比）南関東,1,1977/5/4,ひつじ,ライオン,ゾウ,チーター,たぬき
西川 厚志君,にしかわ あつし,立憲,愛知5,1,1969/5/20,チーター,こじか,ペガサス,猿,たぬき
西川 将人君,にしかわ まさひと,立憲,（比）北海道,1,1968/11/7,チーター,ゾウ,虎,ペガサス,狼
西園 勝秀君,にしぞの かつひで,公明,（比）東海,1,1968/2/1,こじか,こじか,たぬき,たぬき,ゾウ
西田 薫君,にしだ かおる,維新,大阪6,1,1967/4/30,たぬき,チーター,ひつじ,チーター,くろひょう
西田 昭二君,にしだ しょうじ,自民,（比）北陸信越,3,1969/5/1,くろひょう,狼,ゾウ,猿,たぬき
西野 太亮君,にしの だいすけ,自民,熊本2,2,1978/9/22,猿,狼,ライオン,たぬき,ペガサス
西村 智奈美君,にしむら ちなみ,立憲,新潟1,7,1967/1/13,ひつじ,ひつじ,ライオン,ゾウ,子守熊
西村 康稔君,にしむら やすとし,自民,兵庫9,8,1962/10/15,ひつじ,ひつじ,猿,くろひょう,チーター
西銘 恒三郎君,にしめ こうさぶろう,自民,沖縄4,7,1954/8/7,こじか,こじか,猿,猿,ゾウ
丹羽 秀樹君,にわ ひでき,自民,愛知6,7,1972/12/20,子守熊,ペガサス,子守熊,くろひょう,猿
額賀 福志郎君,ぬかが ふくしろう,無,茨城2,14,1944/1/11,くろひょう,こじか,ひつじ,ライオン,狼
沼崎 満子君,ぬまざき みつこ,公明,（比）南関東,1,1973/2/24,狼,ペガサス,こじか,ゾウ,チーター
根本 拓君,ねもと たく,自民,（比）東北,1,1986/9/11,ゾウ,虎,猿,ひつじ,子守熊
根本 幸典君,ねもと ゆきのり,自民,愛知15,5,1965/2/21,猿,虎,ライオン,子守熊,こじか
野田 聖子君,のだ せいこ,自民,岐阜1,11,1960/9/3,ペガサス,ゾウ,チーター,ゾウ,たぬき
野田 佳彦君,のだ よしひこ,立憲,千葉14,10,1957/5/20,ペガサス,ひつじ,チーター,ペガサス,ライオン
野中 厚君,のなか あつし,自民,（比）北関東,5,1976/11/17,虎,子守熊,こじか,くろひょう,たぬき
野間 健君,のま たけし,立憲,鹿児島3,4,1958/10/8,ゾウ,虎,ひつじ,ひつじ,子守熊
萩生田 光一君,はぎうだ こういち,自民,東京24,7,1963/8/31,子守熊,虎,チーター,子守熊,ひつじ
萩原 佳君,はぎはら けい,維新,大阪9,1,1977/7/27,こじか,ペガサス,チーター,くろひょう,ゾウ
橋本 慧悟君,はしもと けいご,立憲,（比）近畿,1,1988/12/3,ライオン,ひつじ,ひつじ,ペガサス,虎
橋本 幹彦君,はしもと みきひこ,国民,埼玉13,1,1995/12/27,虎,ひつじ,ライオン,ペガサス,ひつじ
長谷川 嘉一君,はせがわ かいち,立憲,（比）北関東,2,1952/11/6,ひつじ,くろひょう,くろひょう,ひつじ,チーター
長谷川 淳二君,はせがわ じゅんじ,自民,愛媛3,2,1968/8/5,くろひょう,くろひょう,チーター,チーター,くろひょう
波多野 翼君,はたの つばさ,立憲,（比）北陸信越,1,1984/11/6,こじか,たぬき,チーター,ペガサス,ひつじ
鳩山 紀一郎君,はとやま きいちろう,国民,（比）東京,1,1976/7/26,くろひょう,子守熊,たぬき,子守熊,子守熊
鳩山 二郎君,はとやま じろう,自民,福岡6,4,1979/1/1,狼,くろひょう,虎,狼,狼
葉梨 康弘君,はなし やすひろ,自民,茨城3,7,1959/10/12,こじか,子守熊,狼,ペガサス,狼
馬場 伸幸君,ばば のぶゆき,維新,大阪17,5,1965/1/27,こじか,ゾウ,ひつじ,ペガサス,ゾウ
馬場 雄基君,ばば ゆうき,立憲,（比）東北,2,1992/10/15,こじか,チーター,ペガサス,チーター,ひつじ
浜田 靖一君,はまだ やすかず,自民,千葉12,11,1955/10/21,ひつじ,ライオン,こじか,ひつじ,チーター
浜地 雅一君,はまち まさかず,公明,（比）九州,5,1970/5/8,ライオン,狼,ひつじ,くろひょう,たぬき
林 佑美君,はやし ゆみ,維新,（比）近畿,2,1981/5/12,猿,ペガサス,虎,猿,虎
林 芳正君,はやし よしまさ,自民,山口3,2（参5）,1961/1/19,たぬき,虎,虎,チーター,ゾウ
原口 一博君,はらぐち かずひろ,立憲,佐賀1,10,1959/7/2,猿,ペガサス,ゾウ,くろひょう,ひつじ
伴野 豊君,ばんの ゆたか,立憲,愛知8,7,1961/1/1,チーター,ゾウ,チーター,ゾウ,ペガサス
日野 紗里亜君,ひの さりあ,国民,愛知7,1,1987/11/26,狼,子守熊,子守熊,子守熊,ペガサス
平井 卓也君,ひらい たくや,自民,（比）四国,9,1958/1/25,たぬき,子守熊,チーター,こじか,ゾウ
平岩 征樹君,ひらいわ まさき,国民,（比）近畿,1,1979/12/25,狼,猿,たぬき,狼,くろひょう
平岡 秀夫君,ひらおか ひでお,立憲,（比）中国,6,1954/1/14,ひつじ,チーター,猿,ひつじ,くろひょう
平口 洋君,ひらぐち ひろし,自民,広島2,6,1948/8/1,たぬき,虎,狼,ひつじ,ライオン
平沢 勝栄君,ひらさわ かつえい,自民,東京17,10,1945/9/4,子守熊,狼,ゾウ,猿,ひつじ
平沼 正二郎君,ひらぬま しょうじろう,自民,（比）中国,2,1979/11/11,ライオン,狼,こじか,ゾウ,虎
平林 晃君,ひらばやし あきら,公明,（比）中国,2,1971/2/2,こじか,虎,ひつじ,ひつじ,こじか
広瀬 建君,ひろせ けん,自民,大分2,1,1974/1/22,くろひょう,虎,くろひょう,虎,くろひょう
深作 ヘスス君,ふかさく へすす,国民,（比）南関東,1,1985/1/4,ライオン,猿,ライオン,ひつじ,ライオン
深澤 陽一君,ふかざわ よういち,自民,（比）東海,3,1976/6/21,ゾウ,たぬき,たぬき,ペガサス,ライオン
福重 隆浩君,ふくしげ たかひろ,公明,（比）北関東,2,1962/5/3,ひつじ,こじか,狼,たぬき,たぬき
福島 伸享君,ふくしま のぶゆき,有志,茨城1,4,1970/8/8,ライオン,ライオン,たぬき,子守熊,ペガサス
福田 徹君,ふくた とおる,国民,愛知16,1,1982/6/2,ライオン,くろひょう,ひつじ,ひつじ,ゾウ
福田 昭夫君,ふくだ あきお,立憲,栃木2,7,1948/4/17,ひつじ,猿,虎,たぬき,ペガサス
福田 かおる君,ふくだ かおる,自民,東京18,1,1985/5/10,虎,猿,ひつじ,猿,猿
福田 玄君,ふくだ げん,国民,（比）中国,1,1981/12/6,ペガサス,虎,ゾウ,ひつじ,ひつじ
福田 淳太君,ふくだ じゅんた,立憲,（比）北陸信越,1,1993/11/3,ひつじ,狼,ゾウ,くろひょう,ゾウ
福田 達夫君,ふくだ たつお,自民,群馬4,5,1967/3/5,猿,くろひょう,たぬき,狼,ペガサス
福原 淳嗣君,ふくはら じゅんじ,自民,（比）東北,1,1967/12/18,狼,くろひょう,たぬき,ひつじ,くろひょう
福森 和歌子君,ふくもり わかこ,立憲,（比）東海,1,1970/1/6,こじか,ひつじ,ゾウ,くろひょう,ライオン
藤井 比早之君,ふじい ひさゆき,自民,兵庫4,5,1971/9/11,猿,狼,狼,くろひょう,ライオン
藤岡 たかお君,ふじおか たかお,立憲,栃木4,2,,-,-,-,-,-
藤田 文武君,ふじた ふみたけ,維新,大阪12,3,1980/12/27,チーター,こじか,ペガサス,ライオン,ペガサス
藤巻 健太君,ふじまき けんた,維新,（比）南関東,2,1983/10/7,ゾウ,くろひょう,ペガサス,狼,子守熊
藤丸 敏君,ふじまる さとし,自民,福岡7,5,1960/1/19,こじか,虎,ペガサス,子守熊,ライオン
藤原 規眞君,ふじわら のりまさ,立憲,愛知10,1,1978/4/3,ライオン,こじか,猿,猿,狼
太 栄志君,ふとり ひでし,立憲,神奈川13,2,1977/4/27,たぬき,ライオン,子守熊,こじか,くろひょう
船田 元君,ふなだ はじめ,自民,栃木1,14,1953/11/22,狼,ひつじ,虎,ゾウ,こじか
古川 直季君,ふるかわ なおき,自民,（比）南関東,2,1968/8/31,ゾウ,子守熊,ゾウ,くろひょう,ペガサス
古川 元久君,ふるかわ もとひさ,国民,愛知2,10,1965/12/6,ゾウ,子守熊,猿,ゾウ,チータ
古川 康君,ふるかわ やすし,自民,（比）九州,4,1958/7/15,ひつじ,狼,たぬき,狼,狼
古川 禎久君,ふるかわ よしひさ,自民,宮崎3,8,1965/8/3,くろひょう,ひつじ,虎,虎,子守熊
古屋 圭司君,ふるや けいじ,自民,岐阜5,12,1952/11/1,くろひょう,チーター,ひつじ,ライオン,ペガサス
穂坂 泰君,ほさか やすし,自民,埼玉4,3,1974/2/17,ゾウ,ひつじ,ゾウ,虎,虎
星野 剛士君,ほしの つよし,自民,（比）南関東,5,1963/8/8,ゾウ,ひつじ,猿,猿,ペガサス
細野 豪志君,ほその ごうし,自民,静岡5,9,1971/8/21,子守熊,猿,ペガサス,猿,虎
堀内 詔子君,ほりうち のりこ,自民,山梨2,5,1965/10/28,ひつじ,ライオン,チーター,ひつじ,チーター
堀川 あきこ君,ほりかわ あきこ,共産,（比）近畿,1,,-,-,-,-,-
本庄 知史君,ほんじょう さとし,立憲,千葉8,2,1974/10/22,ひつじ,子守熊,猿,虎,チーター
本田 太郎君,ほんだ たろう,自民,京都5,3,1973/12/1,チーター,たぬき,こじか,こじか,狼
前原 誠司君,まえはら せいじ,維新,京都2,11,1962/4/30,くろひょう,ひつじ,猿,虎,チーター
牧 義夫君,まき よしお,立憲,愛知4,8,1958/1/14,こじか,ペガサス,ライオン,ゾウ,ゾウ
牧島 かれん君,まきしま かれん,自民,神奈川17,5,1976/11/1,こじか,虎,たぬき,こじか,狼
升田 世喜男君,ますた せきお,立憲,（比）東北,2,1957/6/5,ライオン,子守熊,ゾウ,子守熊,たぬき
松尾 明弘君,まつお あきひろ,立憲,東京7,2,1975/1/25,こじか,たぬき,狼,こじか,ゾウ
松木けんこう君,まつき けんこう,立憲,北海道2,7,1959/2/22,虎,ゾウ,ゾウ,虎,ライオン
松下 玲子君,まつした れいこ,立憲,（比）東京,1,1970/9/26,猿,猿,こじか,猿,ライオン
松島 みどり君,まつしま みどり,自民,東京14,8,1956/7/15,ひつじ,ひつじ,ゾウ,猿,狼
松田 功君,まつだ いさお,立憲,（比）東海,2,1968/1/24,くろひょう,狼,ひつじ,狼,くろひょう
松野 博一君,まつの ひろかず,自民,千葉3,9,1962/9/13,狼,ライオン,ライオン,こじか,ゾウ
松原 仁君,まつばら じん,無,東京26,9,1956/7/31,くろひょう,狼,チーター,くろひょう,子守熊
松本 剛明君,まつもと たけあき,自民,兵庫11,9,1959/4/25,たぬき,ひつじ,狼,ゾウ,虎
松本 尚君,まつもと ひさし,自民,千葉13,2,1962/6/3,ペガサス,猿,子守熊,たぬき,ライオン
松本 洋平君,まつもと ようへい,自民,（比）東京,6,1973/8/31,チーター,狼,ひつじ,くろひょう,たぬき
円 より子君,まどか よりこ,国民,（比）東京,1（参3）,1947/2/10,ペガサス,ライオン,子守熊,子守熊,狼
眞野 哲君,まの さとし,立憲,（比）東海,1,1961/6/14,虎,猿,こじか,猿,くろひょう
馬淵 澄夫君,まぶち すみお,立憲,奈良1,8,1960/8/23,ゾウ,ひつじ,ライオン,猿,ペガサス
三木 圭恵君,みき けえ,維新,（比）近畿,3,1966/7/7,くろひょう,子守熊,ライオン,ペガサス,くろひょう
水沼 秀幸君,みずぬま ひでゆき,立憲,千葉4,1,1990/6/28,ゾウ,チーター,ゾウ,チーター,ライオン
三角 創太君,みすみ そうた,立憲,（比）北関東,1,1987/12/16,ペガサス,狼,子守熊,くろひょう,チーター
三反園 訓君,みたぞの さとし,自民,鹿児島2,2,1958/2/13,狼,ライオン,くろひょう,チーター,チーター
三谷 英弘君,みたに ひでひろ,自民,（比）南関東,4,1976/6/28,子守熊,チーター,ひつじ,ライオン,虎
道下 大樹君,みちした だいき,立憲,北海道1,3,1975/12/24,チーター,たぬき,虎,ペガサス,ペガサス
緑川 貴士君,みどりかわ たかし,立憲,秋田2,3,1985/1/10,ひつじ,猿,ペガサス,猿,くろひょう
美延 映夫君,みのべ てるお,維新,大阪4,3,1961/5/23,ライオン,くろひょう,こじか,ひつじ,ゾウ
御法川 信英君,みのりかわ のぶひで,自民,（比）東北,7,1964/5/25,子守熊,こじか,たぬき,ライオン,子守熊
宮内 秀樹君,みやうち ひでき,自民,福岡4,5,1962/10/19,たぬき,ペガサス,ペガサス,猿,猿
宮川 伸君,みやかわ しん,立憲,（比）南関東,2,1970/6/29,チーター,こじか,たぬき,狼,たぬき
宮崎 政久君,みやざき まさひさ,自民,（比）九州,5,1965/8/8,ペガサス,ゾウ,子守熊,ゾウ,たぬき
宮路 拓馬君,みやじ たくま,自民,（比）九州,4,1979/12/6,狼,くろひょう,くろひょう,チーター,こじか
宮下 一郎君,みやした いちろう,自民,長野5,7,1958/8/1,くろひょう,たぬき,たぬき,虎,ひつじ
向山 淳君,むこうやま じゅん,自民,（比）北海道,1,1983/11/19,チーター,チーター,チーター,ライオン,狼
向山 好一君,むこやま こういち,国民,（比）近畿,2,1957/7/18,たぬき,ペガサス,ライオン,ゾウ,ライオン
武藤 容治君,むとう ようじ,自民,岐阜3,6,1955/10/18,くろひょう,虎,こじか,チーター,たぬき
村井 英樹君,むらい ひでき,自民,埼玉1,5,1980/5/14,虎,狼,チーター,たぬき,ひつじ
村岡 敏英君,むらおか としひで,国民,秋田3,3,1960/7/25,ひつじ,ライオン,チーター,こじか,虎
村上 誠一郎君,むらかみ せいいちろう,自民,（比）四国,13,1952/5/11,虎,虎,たぬき,こじか,ひつじ
村上 智信君,むらかみ とものぶ,維新,福岡11,1,1969/10/9,こじか,虎,猿,こじか,狼
茂木 敏充君,もてぎ としみつ,自民,栃木5,11,1955/10/7,ライオン,こじか,たぬき,たぬき,くろひょう
本村 伸子君,もとむら のぶこ,共産,（比）東海,4,1972/10/20,こじか,ペガサス,チーター,たぬき,ひつじ
森 英介君,もり えいすけ,自民,千葉11,12,1948/8/31,子守熊,狼,狼,くろひょう,虎
森 ようすけ君,もり ようすけ,国民,（比）東京,1,,-,-,-,-,-
森下 千里君,もりした ちさと,自民,（比）東北,1,1981/9/1,狼,チータ,猿,ゾウ,猿
守島 正君,もりしま ただし,維新,大阪2,2,1981/7/15,ひつじ,ゾウ,狼,ゾウ,虎
森田 俊和君,もりた としかず,立憲,埼玉12,3,1974/9/19,子守熊,虎,チーター,虎,ゾウ
森山 裕君,もりやま ひろし,自民,鹿児島4,8（参1）,1945/4/8,たぬき,くろひょう,猿,チーター,虎
森山 浩行君,もりやま ひろゆき,立憲,（比）近畿,4,1971/4/8,こじか,虎,虎,虎,猿
矢崎 堅太郎君,やざき けんたろう,立憲,千葉5,1,1967/9/29,ゾウ,子守熊,たぬき,虎,猿
谷田川 元君,やたがわ はじめ,立憲,（比）南関東,4,1963/1/17,ひつじ,ライオン,ペガサス,子守熊,くろひょう
簗 和生君,やな かずお,自民,栃木3,5,1979/4/22,たぬき,くろひょう,くろひょう,狼,ひつじ
柳沢 剛君,やなぎさわ つよし,立憲,宮城3,1,1963/8/18,ゾウ,狼,猿,狼,ペガサス
八幡 愛君,やはた あい,れ新,（比）近畿,1,1987/7/21,たぬき,たぬき,ペガサス,こじか,ライオン
山 登志浩君,やま としひろ,立憲,（比）北陸信越,1,1979/12/30,猿,たぬき,たぬき,こじか,ひつじ
山岡 達丸君,やまおか たつまる,立憲,北海道9,4,1979/7/22,くろひょう,ペガサス,くろひょう,猿,ひつじ
山川 仁君,やまかわ ひとし,れ新,（比）九州,1,1974/9/24,ゾウ,くろひょう,猿,狼,子守熊
山岸 一生君,やまぎし いっせい,立憲,東京9,2,1981/8/28,子守熊,猿,ゾウ,猿,虎
山際 大志郎君,やまぎわ だいしろう,自民,（比）南関東,7,1968/9/12,ペガサス,ペガサス,狼,くろひょう,くろひょう
山口 俊一君,やまぐち しゅんいち,自民,徳島2,12,1950/2/28,ライオン,ゾウ,ライオン,ゾウ,猿
山口 壯君,やまぐち つよし,自民,兵庫12,8,1954/10/3,チーター,ひつじ,狼,ペガサス,くろひょう
山口 良治君,やまぐち りょうじ,公明,（比）北関東,1,1943/2/15,ライオン,たぬき,ひつじ,ペガサス,猿
山崎 正恭君,やまさき まさやす,公明,（比）四国,2,1971/3/5,ゾウ,ひつじ,狼,虎,虎
山崎 誠君,やまざき まこと,立憲,（比）南関東,4,1962/11/22,チータ,ライオン,猿,チータ,チータ
山下 貴司君,やました たかし,自民,岡山2,5,1965/9/8,ペガサス,たぬき,チーター,子守熊,くろひょう
山田 勝彦君,やまだ かつひこ,立憲,（比）九州,3,1979/7/19,狼,黒ひょう,黒ひょう,たぬき,黒ひょう
山田 賢司君,やまだ けんじ,自民,兵庫7,5,1966/4/20,たぬき,猿,ライオン,猿,ひつじ
山井 和則君,やまのい かずのり,立憲,京都6,9,1962/1/6,くろひょう,たぬき,くろひょう,ペガサス,狼
山花 郁夫君,やまはな いくお,立憲,東京22,5,1967/1/18,たぬき,狼,狼,ゾウ,ゾウ
山本 大地君,やまもと だいち,自民,和歌山1,1,1991/5/28,ライオン,ひつじ,たぬき,虎,たぬき
屋良 朝博君,やら ともひろ,立憲,（比）九州,3,1962/8/22,猿,ひつじ,子守熊,ペガサス,猿
柚木 道義君,ゆのき みちよし,立憲,岡山4,7,1972/5/28,虎,くろひょう,ペガサス,狼,猿
吉川 元君,よしかわ はじめ,立憲,（比）九州,5,1966/9/28,ペガサス,チータ,虎,猿,こじか
吉川 里奈君,よしかわ りな,参政,（比）九州,1,1987/5/25,子守熊,こじか,虎,ライオン,子守熊
吉田 真次君,よしだ しんじ,自民,（比）中国,2,1984/7/6,子守熊,こじか,猿,たぬき,虎
吉田 宣弘君,よしだ のぶひろ,公明,（比）九州,4,1967/12/8,狼,虎,たぬき,子守熊,くろひょう
吉田 はるみ君,よしだ はるみ,立憲,東京8,2,,-,-,-,-,-
米山 隆一君,よねやま りゅういち,立憲,新潟4,2,,-,-,-,-,-
笠 浩史君,りゅう ひろふみ,立憲,神奈川9,8,1965/1/3,ペガサス,虎,たぬき,こじか,ゾウ
若山 慎司君,わかやま しんじ,自民,（比）東海,1,1973/7/15,こじか,虎,たぬき,チーター,こじか
早稲田 ゆき君,わせだ ゆき,立憲,神奈川4,3,,-,-,-,-,-
和田 有一朗君,わだ ゆういちろう,維新,（比）近畿,2,1964/10/23,ひつじ,チーター,くろひょう,狼,チーター
渡辺 周君,わたなべ しゅう,立憲,静岡6,10,1961/12/11,狼,猿,こじか,猿,狼
渡辺 創君,わたなべ そう,立憲,宮崎1,2,1977/10/3,子守熊,狼,狼,狼,ゾウ
鰐淵 洋子君,わにぶち ようこ,公明,（比）近畿,3（参1）,1972/4/10,ひつじ,たぬき,猿,こじか,たぬき
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,3,1,2,4,5
